Symbol,Whether ETF,Company Name,Exchange Market Place
OGN,False,Organon & Co. Common Stock ,nyse
OKE,False,"ONEOK, Inc. Common Stock",nyse
OKTA,False,"Okta, Inc. - Class A Common Stock",nasdaq
OMC,False,Omnicom Group Inc. Common Stock,nyse
ON,False,ON Semiconductor Corporation - Common Stock,nasdaq
ORCL,False,Oracle Corporation Common Stock,nyse
ORLY,False,"O'Reilly Automotive, Inc. - Common Stock",nasdaq
OTIS,False,Otis Worldwide Corporation Common Stock ,nyse
OVV,False,Ovintiv Inc. (DE),nyse
OXY,False,Occidental Petroleum Corporation Common Stock,nyse
PANW,False,"Palo Alto Networks, Inc. - Common Stock",nasdaq
PARA,False,Paramount Global - Class B Common Stock,nasdaq
PAYC,False,"Paycom Software, Inc. Common Stock",nyse
PAYX,False,"Paychex, Inc. - Common Stock",nasdaq
PBR,False,Petroleo Brasileiro S.A.- Petrobras Common Stock,nyse
PCAR,False,PACCAR Inc. - Common Stock,nasdaq
PCG,False,Pacific Gas & Electric Co. Common Stock,nyse
PDD,False,Pinduoduo Inc. - American Depositary Shares,nasdaq
PEAK,False,"Healthpeak Properties, Inc. Common Stock",nyse
PEG,False,Public Service Enterprise Group Incorporated Common Stock,nyse
PEP,False,"PepsiCo, Inc. - Common Stock",nasdaq
PFE,False,"Pfizer, Inc. Common Stock",nyse
PFG,False,Principal Financial Group Inc - Common Stock,nasdaq
PG,False,Procter & Gamble Company (The) Common Stock,nyse
PGR,False,Progressive Corporation (The) Common Stock,nyse
PH,False,Parker-Hannifin Corporation Common Stock,nyse
PHM,False,"PulteGroup, Inc. Common Stock",nyse
PINS,False,"Pinterest, Inc. Class A Common Stock",nyse
PKG,False,Packaging Corporation of America Common Stock,nyse
PKI,False,"PerkinElmer, Inc. Common Stock",nyse
PLD,False,"Prologis, Inc. Common Stock",nyse
PLTR,False,Palantir Technologies Inc. Class A Common Stock,nyse
PLUG,False,"Plug Power, Inc. - Common Stock",nasdaq
PM,False,Philip Morris International Inc Common Stock,nyse
PNC,False,"PNC Financial Services Group, Inc. (The) Common Stock",nyse
PNR,False,Pentair plc. Ordinary Share,nyse
PNW,False,Pinnacle West Capital Corporation Common Stock,nyse
POOL,False,Pool Corporation - Common Stock,nasdaq
PPG,False,"PPG Industries, Inc. Common Stock",nyse
PPL,False,PPL Corporation Common Stock,nyse
PRU,False,"Prudential Financial, Inc. Common Stock",nyse
PSA,False,Public Storage Common Stock,nyse
PSTG,False,"Pure Storage, Inc. Class A Common Stock",nyse
PSX,False,Phillips 66 Common Stock,nyse
PTC,False,PTC Inc. - Common Stock,nasdaq
PTON,False,"Peloton Interactive, Inc. - Common Stock",nasdaq
PWR,False,"Quanta Services, Inc. Common Stock",nyse
PXD,False,Pioneer Natural Resources Company Common Stock,nyse
PYPL,False,"PayPal Holdings, Inc. - Common Stock",nasdaq
QCOM,False,QUALCOMM Incorporated - Common Stock,nasdaq
QQQ,True,"Invesco QQQ Trust, Series 1",nasdaq
QRVO,False,"Qorvo, Inc. - Common Stock",nasdaq
RBLX,False,Roblox Corporation Class A Common Stock,nyse
RCL,False,D/B/A Royal Caribbean Cruises Ltd. Common Stock,nyse
RE,False,"Everest Re Group, Ltd. Common Stock",nyse
REG,False,Regency Centers Corporation - Common Stock,nasdaq
REGN,False,"Regeneron Pharmaceuticals, Inc. - Common Stock",nasdaq
RELX,False,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),nyse
RF,False,Regions Financial Corporation Common Stock,nyse
RHI,False,Robert Half International Inc. Common Stock,nyse
RIO,False,Rio Tinto Plc Common Stock,nyse
RIVN,False,"Rivian Automotive, Inc. - Class A Common Stock",nasdaq
RJF,False,"Raymond James Financial, Inc. Common Stock",nyse
RL,False,Ralph Lauren Corporation Common Stock,nyse
RMD,False,ResMed Inc. Common Stock,nyse
RNG,False,"RingCentral, Inc. Class A Common Stock",nyse
ROK,False,"Rockwell Automation, Inc. Common Stock",nyse
ROKU,False,"Roku, Inc. - Class A Common Stock",nasdaq
ROL,False,"Rollins, Inc. Common Stock",nyse
ROP,False,"Roper Technologies, Inc. Common Stock",nyse
ROST,False,"Ross Stores, Inc. - Common Stock",nasdaq
RSG,False,"Republic Services, Inc. Common Stock",nyse
RTX,False,Raytheon Technologies Corporation Common Stock,nyse
RUN,False,Sunrun Inc. - Common Stock,nasdaq
RY,False,Royal Bank Of Canada Common Stock,nyse
RYAAY,False,"Ryanair Holdings plc - American Depositary Shares, each representing five Ordinary Shares",nasdaq
SAM,False,"Boston Beer Company, Inc. (The) Common Stock",nyse
SAP,False,SAP  SE ADS,nyse
SBAC,False,SBA Communications Corporation - Class A Common Stock,nasdaq
SBNY,False,Signature Bank - Common Stock,nasdaq
SBUX,False,Starbucks Corporation - Common Stock,nasdaq
SCHA,True,Schwab U.S. Small-Cap ETF,nysearca
SCHB,True,Schwab U.S. Broad Market ETF,nysearca
SCHC,True,Schwab International Small-Cap Equity ETF,nysearca
SCHD,True,Schwab US Dividend Equity ETF,nysearca
SCHE,True,Schwab Emerging Markets Equity ETF,nysearca
SCHF,True,Schwab International Equity ETF,nysearca
SCHG,True,Schwab U.S. Large-Cap Growth ETF,nysearca
SCHH,True,Schwab U.S. REIT ETF,nysearca
SCHI,True,Schwab 5-10 Year Corporate Bond ETF,nysearca
SCHJ,True,Schwab 1-5 Year Corporate Bond ETF,nysearca
SCHK,True,Schwab 1000 Index ETF,nysearca
SCHM,True,Schwab U.S. Mid Cap ETF,nysearca
SCHO,True,Schwab Short-Term U.S. Treasury ETF,nysearca
SCHQ,True,Schwab Long-Term U.S. Treasury ETF,nysearca
SCHR,True,Schwab Intermediate-Term U.S. Treasury ETF,nysearca
SCHV,True,Schwab U.S. Large-Cap Value ETF,nysearca
SCHW,False,Charles Schwab Corporation (The) Common Stock,nyse
SCHX,True,Schwab U.S. Large-Cap ETF,nysearca
SCHZ,True,Schwab US Aggregate Bond ETF,nysearca
SE,False,"Sea Limited American Depositary Shares, each representing one Class A Ordinary Share",nyse
SEDG,False,"SolarEdge Technologies, Inc. - Common Stock",nasdaq
SEE,False,Sealed Air Corporation Common Stock,nyse
SGEN,False,Seagen Inc.  - Common Stock,nasdaq
SHEL,False,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,nyse
SHOP,False,Shopify Inc. Class A Subordinate Voting Shares,nyse
SHW,False,Sherwin-Williams Company (The) Common Stock,nyse
SIRI,False,Sirius XM Holdings Inc. - Common Stock,nasdaq
SIVB,False,SVB Financial Group - Common Stock,nasdaq
SJM,False,J.M. Smucker Company (The) New Common Stock,nyse
SLB,False,Schlumberger N.V. Common Stock,nyse
SLV,True,iShares Silver Trust,nysearca
SNA,False,Snap-On Incorporated Common Stock,nyse
SNAP,False,Snap Inc. Class A Common Stock,nyse
SNN,False,"Smith & Nephew SNATS, Inc. Common Stock",nyse
SNOW,False,Snowflake Inc. Class A Common Stock,nyse
SNPS,False,"Synopsys, Inc. - Common Stock",nasdaq
SNY,False,Sanofi - American Depositary Shares,nasdaq
SO,False,Southern Company (The) Common Stock,nyse
SOFI,False,"SoFi Technologies, Inc.  - Common Stock",nasdaq
SONY,False,Sony Group Corporation American Depositary Shares ,nyse
SOXL,True,Direxion Daily Semiconductor Bull 3x Shares,nysearca
SOXX,True,iShares Semiconductor ETF,nasdaq
SPG,False,"Simon Property Group, Inc. Common Stock",nyse
SPGI,False,S&P Global Inc. Common Stock,nyse
SPLK,False,Splunk Inc. - Common Stock,nasdaq
SPOT,False,Spotify Technology S.A. Ordinary Shares,nyse
SPXL,True,Direxion Daily S&P 500 Bull 3X Shares,nysearca
SPXS,True,Direxion Daily S&P 500 Bear 3X,nysearca
SPY,True,SPDR S&P 500,nysearca
SQ,False,"Block, Inc. Class A Common Stock,",nyse
SQM,False,Sociedad Quimica y Minera S.A. Common Stock,nyse
SRE,False,DBA Sempra Common Stock,nyse
SRPT,False,"Sarepta Therapeutics, Inc. - Common Stock",nasdaq
STE,False,STERIS plc (Ireland) Ordinary Shares,nyse
STLD,False,"Steel Dynamics, Inc. - Common Stock",nasdaq
STM,False,STMicroelectronics N.V. Common Stock,nyse
STT,False,State Street Corporation Common Stock,nyse
STX,False,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),nasdaq
STZ,False,"Constellation Brands, Inc. Common Stock",nyse
SU,False,Suncor Energy  Inc. Common Stock,nyse
SVXY,True,ProShares Short VIX Short Term Futures ETF,bats
SWK,False,"Stanley Black & Decker, Inc. Common Stock",nyse
SWKS,False,"Skyworks Solutions, Inc. - Common Stock",nasdaq
SWN,False,Southwestern Energy Company Common Stock,nyse
SYF,False,Synchrony Financial Common Stock,nyse
SYK,False,Stryker Corporation Common Stock,nyse
SYY,False,Sysco Corporation Common Stock,nyse
T,False,AT&T Inc.,nyse
TAP,False,Molson Coors Beverage Company Class B Common Stock,nyse
TBB,False,AT&T Inc. 5.350% Global Notes due 2066,nyse
TBC,False,AT&T Inc. 5.625% Global Notes due 2067,nyse
TD,False,Toronto Dominion Bank (The) Common Stock,nyse
TDG,False,Transdigm Group Incorporated Common Stock,nyse
TDOC,False,"Teladoc Health, Inc. Common Stock",nyse
TDY,False,Teledyne Technologies Incorporated Common Stock,nyse
TEAM,False,Atlassian Corporation  - Class A Common Stock,nasdaq
TECH,False,Bio-Techne Corp - Common Stock,nasdaq
TECK,False,Teck Resources Ltd Ordinary Shares,nyse
TECL,True,Direxion Technology Bull 3X Shares,nysearca
TEL,False,TE Connectivity Ltd. New Switzerland Registered Shares,nyse
TER,False,"Teradyne, Inc. - Common Stock",nasdaq
TFC,False,Truist Financial Corporation Common Stock,nyse
TFX,False,Teleflex Incorporated Common Stock,nyse
TGT,False,Target Corporation Common Stock,nyse
THC,False,Tenet Healthcare Corporation Common Stock,nyse
TJX,False,"TJX Companies, Inc. (The) Common Stock",nyse
TLT,True,iShares 20+ Year Treasury Bond ETF,nasdaq
TM,False,Toyota Motor Corporation Common Stock,nyse
TME,False,"Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares",nyse
TMO,False,Thermo Fisher Scientific Inc Common Stock,nyse
TMUS,False,"T-Mobile US, Inc. - Common Stock",nasdaq
TNA,True,Direxion Small Cap Bull 3X Shares,nysearca
TOST,False,"Toast, Inc. Class A Common Stock",nyse
TPR,False,"Tapestry, Inc. Common Stock",nyse
TQQQ,True,ProShares UltraPro QQQ,nasdaq
TRGP,False,"Targa Resources, Inc. Common Stock",nyse
TRMB,False,Trimble Inc. - Common Stock,nasdaq
TROW,False,"T. Rowe Price Group, Inc. - Common Stock",nasdaq
TRP,False,TC Energy Corporation Common Stock,nyse
TRU,False,TransUnion Common Stock,nyse
TRV,False,"The Travelers Companies, Inc. Common Stock",nyse
TSCO,False,Tractor Supply Company - Common Stock,nasdaq
TSLA,False,"Tesla, Inc.  - Common Stock",nasdaq
TSM,False,Taiwan Semiconductor Manufacturing Company Ltd.,nyse
TSN,False,"Tyson Foods, Inc. Common Stock",nyse
TT,False,Trane Technologies plc,nyse
TTD,False,"The Trade Desk, Inc. - Class A Common Stock",nasdaq
TTE,False,TotalEnergies SE,nyse
TTWO,False,"Take-Two Interactive Software, Inc. - Common Stock",nasdaq
TWLO,False,Twilio Inc. Class A Common Stock,nyse
TXN,False,Texas Instruments Incorporated - Common Stock,nasdaq
TXT,False,Textron Inc. Common Stock,nyse
TYL,False,"Tyler Technologies, Inc. Common Stock",nyse
U,False,Unity Software Inc. Common Stock,nyse
UAL,False,"United Airlines Holdings, Inc. - Common Stock",nasdaq
UBER,False,"Uber Technologies, Inc. Common Stock",nyse
UBOT,True,"Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2X Shares",nysearca
UDR,False,"UDR, Inc. Common Stock",nyse
UHS,False,"Universal Health Services, Inc. Common Stock",nyse
UL,False,Unilever PLC Common Stock,nyse
ULTA,False,"Ulta Beauty, Inc. - Common Stock",nasdaq
UNH,False,UnitedHealth Group Incorporated Common Stock (DE),nyse
UNP,False,Union Pacific Corporation Common Stock,nyse
UPS,False,"United Parcel Service, Inc. Common Stock",nyse
URI,False,"United Rentals, Inc. Common Stock",nyse
USB,False,U.S. Bancorp Common Stock,nyse
UTSL,True,Direxion Daily Utilities Bull 3X Shares,nysearca
UVXY,True,ProShares Trust Ultra VIX Short Term Futures ETF,bats
V,False,Visa Inc.,nyse
VB,True,Vanguard Small-Cap ETF,nysearca
VEA,True,Vanguard FTSE Developed Markets ETF,nysearca
VEEV,False,Veeva Systems Inc. Class A Common Stock,nyse
VFC,False,V.F. Corporation Common Stock,nyse
VICI,False,VICI Properties Inc. Common Stock,nyse
VLO,False,Valero Energy Corporation Common Stock,nyse
VMC,False,Vulcan Materials Company (Holding Company) Common Stock,nyse
VMW,False,"Vmware, Inc. Common stock, Class A",nyse
VOO,True,Vanguard S&P 500 ETF,nysearca
VRSK,False,"Verisk Analytics, Inc. - Common Stock",nasdaq
VRSN,False,"VeriSign, Inc. - Common Stock",nasdaq
VRTX,False,Vertex Pharmaceuticals Incorporated - Common Stock,nasdaq
VTI,True,Vanguard Total Stock Market ETF,nysearca
VTR,False,"Ventas, Inc. Common Stock",nyse
VTRS,False,Viatris Inc. - Common Stock,nasdaq
VZ,False,Verizon Communications Inc. Common Stock,nyse
W,False,Wayfair Inc. Class A Common Stock,nyse
WAB,False,Westinghouse Air Brake Technologies Corporation Common Stock,nyse
WANT,True,Direxion Daily Consumer Discretionary Bull 3X Shares,nysearca
WAT,False,Waters Corporation Common Stock,nyse
WBA,False,"Walgreens Boots Alliance, Inc. - Common Stock",nasdaq
WBD,False,"Warner Bros. Discovery, Inc. - Series A Common Stock",nasdaq
WCN,False,"Waste Connections, Inc. Common Shares",nyse
WDAY,False,"Workday, Inc. - Class A Common Stock",nasdaq
WDC,False,Western Digital Corporation - Common Stock,nasdaq
WEBL,True,Direxion Daily Dow Jones Internet Bull 3X Shares,nysearca
WEC,False,"WEC Energy Group, Inc. Common Stock",nyse
WELL,False,Welltower Inc. Common Stock,nyse
WFC,False,Wells Fargo & Company Common Stock,nyse
WHR,False,Whirlpool Corporation Common Stock,nyse
WM,False,"Waste Management, Inc. Common Stock",nyse
WMB,False,"Williams Companies, Inc. (The) Common Stock",nyse
WMT,False,Walmart Inc. Common Stock,nyse
WOLF,False,"Wolfspeed, Inc. Common Stock",nyse
WRB,False,W.R. Berkley Corporation Common Stock,nyse
WRK,False,Westrock Company Common Stock,nyse
WSM,False,"Williams-Sonoma, Inc. Common Stock (DE)",nyse
WST,False,"West Pharmaceutical Services, Inc. Common Stock",nyse
WTW,False,Willis Towers Watson Public Limited Company - Ordinary Shares,nasdaq
WY,False,Weyerhaeuser Company Common Stock,nyse
WYNN,False,"Wynn Resorts, Limited - Common Stock",nasdaq
XEL,False,Xcel Energy Inc. - Common Stock,nasdaq
XLB,True,Materials Select Sector SPDR,nysearca
XLC,True,The Communication Services Select Sector SPDR Fund,nysearca
XLE,True,SPDR Select Sector Fund - Energy Select Sector,nysearca
XLF,True,SPDR Select Sector Fund - Financial,nysearca
XLI,True,SPDR Select Sector Fund - Industrial,nysearca
XLK,True,SPDR Select Sector Fund - Technology,nysearca
XLP,True,SPDR Select Sector Fund - Consumer Staples,nysearca
XLRE,True,Real Estate Select Sector SPDR Fund (The),nysearca
XLU,True,SPDR Select Sector Fund - Utilities,nysearca
XLV,True,SPDR Select Sector Fund - Health Care,nysearca
XLY,True,SPDR Select Sector Fund - Consumer Discretionary,nysearca
XOM,False,Exxon Mobil Corporation Common Stock,nyse
XPEV,False,"XPeng Inc. American depositary shares, each representing two Class A ordinary shares",nyse
XRAY,False,DENTSPLY SIRONA Inc. - Common Stock,nasdaq
XYL,False,Xylem Inc. Common Stock New,nyse
YUM,False,"Yum! Brands, Inc.",nyse
YUMC,False,"Yum China Holdings, Inc. Common Stock",nyse
Z,False,"Zillow Group, Inc. - Class C Capital Stock",nasdaq
ZBH,False,"Zimmer Biomet Holdings, Inc. Common Stock",nyse
ZBRA,False,Zebra Technologies Corporation - Class A Common Stock,nasdaq
ZI,False,ZoomInfo Technologies Inc. - Common Stock,nasdaq
ZION,False,Zions Bancorporation N.A. - Common Stock,nasdaq
ZM,False,"Zoom Video Communications, Inc. - Class A Common Stock",nasdaq
ZS,False,"Zscaler, Inc. - Common Stock",nasdaq
ZTS,False,Zoetis Inc. Class A Common Stock,nyse
