Symbol,Whether ETF,Company Name,Exchange Market Place
FSLR,False,"First Solar, Inc. - Common Stock",nasdaq
FTNT,False,"Fortinet, Inc. - Common Stock",nasdaq
FTV,False,Fortive Corporation Common Stock ,nyse
FUTU,False,Futu Holdings Limited - American Depositary Shares,nasdaq
GD,False,General Dynamics Corporation Common Stock,nyse
GE,False,General Electric Company Common Stock,nyse
GEHC,False,GE HealthCare Technologies Inc. - Common Stock,nasdaq
GEN,False,Gen Digital Inc. - Common Stock,nasdaq
GFS,False,GlobalFoundries Inc. - Ordinary Share,nasdaq
GILD,False,"Gilead Sciences, Inc. - Common Stock",nasdaq
GIS,False,"General Mills, Inc. Common Stock",nyse
GL,False,Globe Life Inc. Common Stock,nyse
GLW,False,Corning Incorporated Common Stock,nyse
GM,False,General Motors Company Common Stock,nyse
GNRC,False,Generac Holdlings Inc. Common Stock,nyse
GOLD,False,Barrick Gold Corporation Common Stock (BC),nyse
GOOG,False,Alphabet Inc. - Class C Capital Stock,nasdaq
GOOGL,False,Alphabet Inc. - Class A Common Stock,nasdaq
GPC,False,Genuine Parts Company Common Stock,nyse
GPN,False,Global Payments Inc. Common Stock,nyse
GRMN,False,Garmin Ltd. Common Stock (Switzerland),nyse
GS,False,"Goldman Sachs Group, Inc. (The) Common Stock",nyse
GSK,False,GSK plc American Depositary Shares (Each representing two Ordinary Shares),nyse
GTLS,False,"Chart Industries, Inc. Common Stock",nyse
GWRE,False,"Guidewire Software, Inc. Common Stock",nyse
GWW,False,"W.W. Grainger, Inc. Common Stock",nyse
HAL,False,Halliburton Company Common Stock,nyse
HAS,False,"Hasbro, Inc. - Common Stock",nasdaq
HBAN,False,Huntington Bancshares Incorporated - Common Stock,nasdaq
HCA,False,"HCA Healthcare, Inc. Common Stock",nyse
HD,False,"Home Depot, Inc. (The) Common Stock",nyse
HDB,False,HDFC Bank Limited Common Stock,nyse
HES,False,Hess Corporation Common Stock,nyse
HIG,False,"Hartford Financial Services Group, Inc. (The) Common Stock",nyse
HII,False,"Huntington Ingalls Industries, Inc. Common Stock",nyse
HLT,False,Hilton Worldwide Holdings Inc. Common Stock ,nyse
HOLX,False,"Hologic, Inc. - Common Stock",nasdaq
HON,False,Honeywell International Inc. - Common Stock,nasdaq
HOOD,False,"Robinhood Markets, Inc. - Class A Common Stock",nasdaq
HPE,False,Hewlett Packard Enterprise Company Common Stock,nyse
HPQ,False,HP Inc. Common Stock,nyse
HRL,False,Hormel Foods Corporation Common Stock,nyse
HSBC,False,"HSBC Holdings, plc. Common Stock",nyse
HSIC,False,"Henry Schein, Inc. - Common Stock",nasdaq
HST,False,Host Hotels  - Common Stock,nasdaq
HSY,False,The Hershey Company Common Stock,nyse
HUBS,False,"HubSpot, Inc. Common Stock",nyse
HUM,False,Humana Inc. Common Stock,nyse
HWM,False,Howmet Aerospace Inc. Common Stock,nyse
IAU,True,iShares Gold Trust Shares of the iShares Gold Trust,nysearca
IBB,True,iShares Biotechnology ETF,nasdaq
IBM,False,International Business Machines Corporation Common Stock,nyse
